objectid,title,displaydate,attribution,classification,iiifthumburl,age,decade,category,
150497,"Bouboutte, Rouzat",1908,Jacques-Henri Lartigue,Photograph,"https://api.nga.gov/iiif/5929cfc9-1114-4ac3-bd46-d41b6c85489d/full/!800,800/0/default.jpg",14,1900,min,
65431,Young Girl Dressed in Blue seen from Behind,1900,Max Beckmann,Drawing,"https://api.nga.gov/iiif/5aee0f1b-65a8-4b5d-ad58-e438f2594e7e/full/!800,800/0/default.jpg",16,1900,min,
206401,Head of a Woman,1908,Egon Schiele,Drawing,"https://api.nga.gov/iiif/8b7875f3-cb3d-4359-87a3-1fd7c34195f1/full/!800,800/0/default.jpg",18,1900,min,
8860,Boys Fishing,1902,James McBey,Print,"https://api.nga.gov/iiif/d4a91ac9-aa0f-4f7a-afae-7b9eb8874207/full/!800,800/0/default.jpg",19,1900,min,
67354,Jimmy Corsini,1901,Edward Hopper,Drawing,"https://api.nga.gov/iiif/417b3a4d-2e1a-4141-923f-77420445255e/full/!800,800/0/default.jpg",19,1900,min,
71523,Briare,1902,Henri-Joseph Harpignies,Drawing,"https://api.nga.gov/iiif/7c095b28-4461-45c3-81be-dd28c2c7f635/full/!800,800/0/default.jpg",83,1900,max,
160881,Bauco near Rome (Bauco presso Roma),1904,Giovanni Fattori,Print,"https://api.nga.gov/iiif/021c4d87-8c68-4bd7-b9f2-a2e0a3cdcaba/full/!800,800/0/default.jpg",84,1900,max,
39763,Right and Left,1909,Winslow Homer,Painting,"https://api.nga.gov/iiif/9ef2a890-2516-4f5a-bcc7-cc70a22125b5/full/!800,800/0/default.jpg",73,1900,max,
195850,"The Louvre, Afternoon, Rainy Weather",1900,Camille Pissarro,Painting,"https://api.nga.gov/iiif/f7896300-10dd-4eec-ae25-bf689ce99015/full/!800,800/0/default.jpg",70,1900,max,
136738,Photographie Lunaire Albategnius - Triesnecker - Manilius,1903,Loewy et Puiseux,Photograph,"https://api.nga.gov/iiif/9a66ef09-de5e-469e-952f-265b52d5ec01/full/!800,800/0/default.jpg",70,1900,max,
119337,Self-Portrait with Kodak,1913,Ilse Bing,Photograph,"https://api.nga.gov/iiif/51221aad-3238-45d4-8720-49ce13aaa2db/full/!800,800/0/default.jpg",14,1910,min,
119338,Self-Portrait with Kodak,1913,Ilse Bing,Photograph,"https://api.nga.gov/iiif/06a08b5e-9e44-437c-9b0f-4643f015e156/full/!800,800/0/default.jpg",14,1910,min,
62883,The Christ Child with the Virgin Mary,1917,Gertraud Brausewetter,Print,"https://api.nga.gov/iiif/077bd8fb-77b1-4e0b-990c-356d545568b0/full/!800,800/0/default.jpg",14,1910,min,
111226,Sleeping Boy,1912,André Kertész,Photograph,"https://api.nga.gov/iiif/2fff1c0e-e838-4c4c-bc86-e2ffc21338fe/full/!800,800/0/default.jpg",18,1910,min,
62746,"Escher's Father, G.A. Escher",1916,M.C. Escher,Print,"https://api.nga.gov/iiif/4669f62a-680a-4ca2-bf26-6add214f34f6/full/!800,800/0/default.jpg",18,1910,min,
73486,Road at Hérisson,1911,Henri-Joseph Harpignies,Drawing,"https://api.nga.gov/iiif/e9b68271-2b36-4119-a7c8-1fee2075547f/full/!800,800/0/default.jpg",92,1910,max,
79173,Landscape,1911,Henri-Joseph Harpignies,Drawing,"https://api.nga.gov/iiif/f4651f0e-b928-44e2-bc5e-f6b4a64d1d4a/full/!800,800/0/default.jpg",92,1910,max,
72923,Self-Portrait: Caricatures,1918,Elihu Vedder,Drawing,"https://api.nga.gov/iiif/c3bc3d0d-aee1-43ac-a805-d6cee9095d67/full/!800,800/0/default.jpg",82,1910,max,
72922,Five Heads,1918,Elihu Vedder,Drawing,"https://api.nga.gov/iiif/a913f863-9d44-4110-8c5d-0de17a6a118f/full/!800,800/0/default.jpg",82,1910,max,
46074,Pastoral,1919,Hans Thoma,Print,"https://api.nga.gov/iiif/a177219a-1718-4aa5-8ac0-642a967d10d2/full/!800,800/0/default.jpg",80,1910,max,
147076,The Balsam Tree,1922,Pamela Bianco,Print,"https://api.nga.gov/iiif/4dd6ac7d-e03d-4c59-8d8b-ea44f85ae483/full/!800,800/0/default.jpg",16,1920,min,
148654,Holiday Greetings,1922,Pamela Bianco,Print,"https://api.nga.gov/iiif/343dc472-58a5-43a4-b036-6e273874d93d/full/!800,800/0/default.jpg",16,1920,min,
210741,Paul Citroen and Walter Menzel,1927,Marianne Breslauer,Photograph,"https://api.nga.gov/iiif/fd15003c-9146-4568-8ee2-022f0ef3b79d/full/!800,800/0/default.jpg",18,1920,min,
148150,Still Life,1928,Russell Green,Print,"https://api.nga.gov/iiif/d3b15714-6f5f-49e9-84e3-006e478f6680/full/!800,800/0/default.jpg",18,1920,min,
66690,"Lodgepole Pines, Lyell Fork of the Merced River, Yosemite National Park, California","1921, printed 1979",Ansel Adams,Photograph,"https://api.nga.gov/iiif/0dce6c37-661c-4f0a-9da7-bac5ee0369dc/full/!800,800/0/default.jpg",19,1920,min,
57969,"Filippo Cattaneo, Son of Marchesa Elena Grimaldi",1929,Timothy Cole after Sir Anthony van Dyck,Print,"https://api.nga.gov/iiif/362fa162-5633-4d6b-9d15-704db0b65cb5/full/!800,800/0/default.jpg",77,1920,max,
131865,Self-Portrait,1924,Max Liebermann,Print,"https://api.nga.gov/iiif/dc9a4e24-e09d-4532-9222-c9c4c45e5d8c/full/!800,800/0/default.jpg",77,1920,max,
98269,Greeting Grandmother (Le Bonjour √† la Grand-m√®re),1926,Albert Besnard,Print,"https://api.nga.gov/iiif/78f86e98-62e9-477d-a8c1-354b9fd37a58/full/!800,800/0/default.jpg",77,1920,max,
7088,Court Scene,1927,Jean-Louis Forain,Drawing,"https://api.nga.gov/iiif/e8bd940d-248e-40d0-a6bd-3803fc439041/full/!800,800/0/default.jpg",75,1920,max,
144041,Navajo Trader,1929,Wallace Leroy De Wolf,Print,"https://api.nga.gov/iiif/feae9577-5c0e-45de-a78d-c99bf1960828/full/!800,800/0/default.jpg",75,1920,max,
147650,The Lynching,1938,Richard Kraus,Print,"https://api.nga.gov/iiif/314b2b17-83f9-4c18-adeb-4735f579d25d/full/!800,800/0/default.jpg",15,1930,min,
145391,Untitled (Playing Checkers),1930,William Soles,Print,"https://api.nga.gov/iiif/31ec6424-ed57-44e5-8702-046dcbb115aa/full/!800,800/0/default.jpg",16,1930,min,
146465,Coney Island,1932,Phyllis (Pele) De Lappe,Print,"https://api.nga.gov/iiif/5fba7e3a-aa0a-432f-812e-28052ec12421/full/!800,800/0/default.jpg",16,1930,min,
146980,Untitled (Survival),1935,Ugo Giannini,Print,"https://api.nga.gov/iiif/e060c586-ea4a-4ea7-a422-acee4ec0aad5/full/!800,800/0/default.jpg",16,1930,min,
144076,Composition,1936,Vaughn L. Jackson,Print,"https://api.nga.gov/iiif/6de94175-6511-40ff-bcee-4e9cda5d586d/full/!800,800/0/default.jpg",16,1930,min,
124551,Mists over the Lake,1934,Christian Rohlfs,Drawing,"https://api.nga.gov/iiif/b6af25ac-a721-4266-8e66-0555dfbd3190/full/!800,800/0/default.jpg",85,1930,max,
33354,Mrs. Graham,1930,Timothy Cole after Thomas Gainsborough,Print,"https://api.nga.gov/iiif/9afaf293-666b-4f93-bb81-b208d66bf7cf/full/!800,800/0/default.jpg",78,1930,max,
146847,New Moon and Evening Star,1932,George Elbert Burr,Print,"https://api.nga.gov/iiif/3d5fc5f5-e652-4334-b432-d8532611c15c/full/!800,800/0/default.jpg",73,1930,max,
35952,Dorothy Norman,1937,Alfred Stieglitz,Photograph,"https://api.nga.gov/iiif/8596f569-28ea-4e59-ae6d-8a0cea345744/full/!800,800/0/default.jpg",73,1930,max,
42854,Andrew W. Mellon,1930,Gari Melchers,Painting,"https://api.nga.gov/iiif/eb0b6604-4c01-4429-ad74-8811d178b37e/full/!800,800/0/default.jpg",70,1930,max,
89786,Bird--Animals,1937-1941,Robert Frank,Photograph,"https://api.nga.gov/iiif/5045dc13-119e-4e21-9932-b7acf4364de0/full/!800,800/0/default.jpg",13-17,1940,min,
89787,Polar bear--Animals,1937-1941,Robert Frank,Photograph,"https://api.nga.gov/iiif/ab693267-0751-46d1-9355-bf2a409db741/full/!800,800/0/default.jpg",13-17,1940,min,
89804,Children,1937-1941,Robert Frank,Photograph,"https://api.nga.gov/iiif/a1c28254-5eaa-43d6-a603-20eee912181d/full/!800,800/0/default.jpg",13-17,1940,min,
89843,Boy Scout flags,1937-1941,Robert Frank,Photograph,"https://api.nga.gov/iiif/75305f5e-1d13-4df8-b872-c79ab6cf0f08/full/!800,800/0/default.jpg",13-17,1940,min,
121155,Absurd Profile,1946,Jirí Balcar,Print,"https://api.nga.gov/iiif/4814fd77-cb71-4798-af23-09b9c0fba8c5/full/!800,800/0/default.jpg",17,1940,min,
110330,A Fire in the Woods,1947,Anna Mary Robertson (Grandma) Moses,Painting,"https://api.nga.gov/iiif/5179ce35-0eea-4beb-91ae-479344b690c6/full/!800,800/0/default.jpg",87,1940,max,
63180,J.D. Hatch,1946,Albert Edward Sterner,Drawing,"https://api.nga.gov/iiif/3839193f-ef69-4735-849f-24679f82a9bf/full/!800,800/0/default.jpg",83,1940,max,
181569,A Village Street,1946,Charles W. Dahlgreen,Print,"https://api.nga.gov/iiif/fde71f50-1a21-4067-81d1-3276120f0b04/full/!800,800/0/default.jpg",82,1940,max,
182980,"The Gateway, Menbury, New Hampshire",1947,Hiram Campbell Merrill,Print,"https://api.nga.gov/iiif/87d42547-ce7d-450b-84b3-3759e190d07c/full/!800,800/0/default.jpg",81,1940,max,
179343,The Book of Job,1948,Frank Brangwyn,Volume,"https://api.nga.gov/iiif/9cefebeb-77ab-4d93-ae8e-9ac2411ab6cd/full/!800,800/0/default.jpg",81,1940,max,
54963,Figure Blowing a Horn,1957,Charles Knowles,Print,"https://api.nga.gov/iiif/ac5493ba-e6b5-4a8b-9e72-06098c236f45/full/!800,800/0/default.jpg",17,1950,min,
54973,Four Figures Playing Musical Instruments,1957,Charles Knowles,Print,"https://api.nga.gov/iiif/bebf6bb4-33b2-4738-bced-e8806bbf3859/full/!800,800/0/default.jpg",17,1950,min,
54971,Man with Head Bent,1957,Charles Knowles,Print,"https://api.nga.gov/iiif/3b26fd5c-cd14-46cd-b374-b9e40110dba3/full/!800,800/0/default.jpg",17,1950,min,
47750,Undersea,1955,Ruth Cyril,Print,"https://api.nga.gov/iiif/271536f6-979c-4ca1-9b14-84b6b0cc021e/full/!800,800/0/default.jpg",17,1950,min,
147027,Subway,1954,Eva Hesse,Print,"https://api.nga.gov/iiif/84cba676-6857-4142-89b8-fcfa79ac1b64/full/!800,800/0/default.jpg",18,1950,min,
145645,Saint Harley in Ecstasy,1955,Charles B. Johnston,Print,"https://api.nga.gov/iiif/765141bb-ca76-4f37-867d-0ed9eb623e2e/full/!800,800/0/default.jpg",89,1950,max,
53814,Large Decoration with Masks,1953,Henri Matisse,Painting,"https://api.nga.gov/iiif/ba97c120-385d-4ffc-bf09-7712b65caf9f/full/!800,800/0/default.jpg",84,1950,max,
53817,Woman with Amphora and Pomegranates,1953,Henri Matisse,Painting,"https://api.nga.gov/iiif/8aca92b5-728e-4e33-b44c-9e0c85b7f122/full/!800,800/0/default.jpg",84,1950,max,
67928,Untitled: Circus,1953,John Marin,Painting,"https://api.nga.gov/iiif/85514e58-f3d6-4ac6-bdb3-663ae13d7f47/full/!800,800/0/default.jpg",83,1950,max,
72231,"Study for ""Untitled (Mrs. Marin)"" [upper half]",1953,John Marin,Drawing,"https://api.nga.gov/iiif/2646918a-402d-4065-83f6-417d647562a8/full/!800,800/0/default.jpg",83,1950,max,
224492,"During group medical examination, the nude men are herded through a string of doctor's offices",1960,Ernest Cole,Photograph,"https://api.nga.gov/iiif/459f6afa-4b3e-4029-b709-7ae35d85ab29/full/!800,800/0/default.jpg",20,1960,min,
224493,Handcuffed blacks were arrested for being in a white area illegally,1960,Ernest Cole,Photograph,"https://api.nga.gov/iiif/e03a2cac-595f-4079-b4b1-f3d18f653b07/full/!800,800/0/default.jpg",20,1960,min,
224778,"On a Saturday afternoon in the heart of Johannesburg, five Tsotsis mug a white man",1960,Ernest Cole,Photograph,"https://api.nga.gov/iiif/374b70b5-75a3-4899-a7d0-09596970e750/full/!800,800/0/default.jpg",20,1960,min,
57869,Ah! Meine Mutter,1969,Cornelia Breitenbach,Print,"https://api.nga.gov/iiif/fd5ef522-74b2-4190-99d6-49ef5f276be3/full/!800,800/0/default.jpg",21,1960,min,
115288,Reclining Nude,1969,Pablo Picasso,Drawing,"https://api.nga.gov/iiif/a7d0d9a0-712a-4658-8354-9695b52dfb0b/full/!800,800/0/default.jpg",88,1960,max,
157889,Four Porters Bringing a Young Woman on a Litter to a Gentleman,1968,Pablo Picasso,Print,"https://api.nga.gov/iiif/d23fdf51-d0a5-4d91-8c07-9d0a4c5a6133/full/!800,800/0/default.jpg",87,1960,max,
127521,Flux,1964,Hans Hofmann,Painting,"https://api.nga.gov/iiif/042c7076-fd61-47a5-bbd8-972718ff7a97/full/!800,800/0/default.jpg",84,1960,max,
224264,Composition,1968,Sonia Delaunay,Print,"https://api.nga.gov/iiif/bd2c2fae-e305-4aff-9dab-2015a9e6da68/full/!800,800/0/default.jpg",83,1960,max,
134836,Männenkopf (Self-Portrait),1965,Erich Heckel,Print,"https://api.nga.gov/iiif/45c4ec85-5f98-40cf-8c99-10466706ed3e/full/!800,800/0/default.jpg",82,1960,max,
150793,"Untitled, Providence, Rhode Island",1975-1978,Francesca Woodman,Photograph,"https://api.nga.gov/iiif/c67746b7-caca-487d-b7a4-fec9e3b20d93/full/!800,800/0/default.jpg",17,1970,min,
157359,"House #3, Providence, Rhode Island",1976,Francesca Woodman,Photograph,"https://api.nga.gov/iiif/de1e2e58-b3a4-49e3-99dd-6fb88f744418/full/!800,800/0/default.jpg",18,1970,min,
131337,Carol in her Mother's Dress,1972,Joan Cassis,Photograph,"https://api.nga.gov/iiif/34f81ab0-339a-4c49-94cb-6597eb0ea4fe/full/!800,800/0/default.jpg",20,1970,min,
131410,Sheron with Piano,1972,Joan Cassis,Photograph,"https://api.nga.gov/iiif/baed60a7-86bd-4443-bccc-f70040d662e5/full/!800,800/0/default.jpg",20,1970,min,
197590,"Lyubitel Kislogo (Lover of Sour Things), Leningrad",1973,Boris Smelov,Photograph,"https://api.nga.gov/iiif/05edb688-55b6-475a-ae33-f5772f57867a/full/!800,800/0/default.jpg",22,1970,min,
101898,Greeting Card (Man Holding a Bouquet),1979,Marc Chagall,Print,"https://api.nga.gov/iiif/d1bdfdd9-4aaf-415e-803a-b594eb301585/full/!800,800/0/default.jpg",92,1970,max,
101895,Greeting Card (Artist with a Palette and Easel),1978,Marc Chagall,Print,"https://api.nga.gov/iiif/d69acd09-db56-4633-9fb0-74c093f80acf/full/!800,800/0/default.jpg",91,1970,max,
101897,Greeting Card (Female Figure with Two Heads),1978,Marc Chagall,Print,"https://api.nga.gov/iiif/46de046d-0e58-40f7-9fe0-2dac65c9b796/full/!800,800/0/default.jpg",91,1970,max,
54381,"Teddy Kollek, Mayor of Jerusalem",1973,Oskar Kokoschka,Print,"https://api.nga.gov/iiif/3448e7ff-3fc3-4019-a453-2179182b28c3/full/!800,800/0/default.jpg",87,1970,max,
197602,"Washing, Kursk",1984,Gennadi Bodrov,Photograph,"https://api.nga.gov/iiif/b292db9c-0130-4dc8-bffd-28278222a067/full/!800,800/0/default.jpg",27,1980,min,
128541,Squall,1981,Louisa Chase,Print,"https://api.nga.gov/iiif/2af69f2e-11b8-4899-96da-e8bf0cff28c7/full/!800,800/0/default.jpg",30,1980,min,
225232,"Washington, DC (E25v1.36)",1981,Tseng Kwong Chi,Photograph,"https://api.nga.gov/iiif/48575afd-130d-49ef-bc95-e98a2c98fea3/full/!800,800/0/default.jpg",31,1980,min,
170440,Chasm,1983,Louisa Chase,Print,"https://api.nga.gov/iiif/d5b44ab2-7133-4853-ae8e-c13962374d67/full/!800,800/0/default.jpg",32,1980,min,
131750,Ellis Island 54,1988,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/88a66fcf-643e-437e-892e-df041ddb61c0/full/!800,800/0/default.jpg",32,1980,min,
101887,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/231334cb-c698-4f1b-bdae-1ec46a379189/full/!800,800/0/default.jpg",93,1980,max,
101888,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/76fc39f6-0828-48ef-933d-f1b7926a4efa/full/!800,800/0/default.jpg",93,1980,max,
101889,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/952bd5e4-1a6b-46bf-9d7b-b05ea4cb5c5f/full/!800,800/0/default.jpg",93,1980,max,
119557,Self-Portrait,1988,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ee1edb3f-5021-4a1d-9d9f-08d156df8f8e/full/!800,800/0/default.jpg",89,1980,max,
222435,The Brown Sisters,1987,Henry Speller,Drawing,"https://api.nga.gov/iiif/eb3fa35b-1f29-400f-8edb-62a5934ba6ad/full/!800,800/0/default.jpg",87,1980,max,
175103,Indo Smoke,1994,Danny Hogg (Cool Disco Dan),Drawing,"https://api.nga.gov/iiif/c929e78a-0f21-40c4-99b3-271e1aa3f908/full/!800,800/0/default.jpg",25,1990,min,
175104,Klepto Kid,1994,Danny Hogg (Cool Disco Dan),Drawing,"https://api.nga.gov/iiif/e45d1afd-8566-473d-97b1-de89cd71ee68/full/!800,800/0/default.jpg",25,1990,min,
222447,Ice Lands,1994,Ronald Lockett,Sculpture,"https://api.nga.gov/iiif/8501cca1-95b7-4f28-b0b8-47b98be3902f/full/!800,800/0/default.jpg",29,1990,min,
131745,"University Heights, Bronx",1990,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/ea97b9c5-067f-4413-9f5b-c154fc340a4a/full/!800,800/0/default.jpg",34,1990,min,
131746,Brooklyn Navy Yard,1990,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/fef93a0f-a0ca-4a20-8686-85daaaabcc26/full/!800,800/0/default.jpg",34,1990,min,
143255,Elvis,1993,Albert Hirschfeld,Print,"https://api.nga.gov/iiif/781da55e-6c7c-4d81-aa40-4a165b89c5a6/full/!800,800/0/default.jpg",90,1990,max,
83496,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/b4cffb50-1cfe-4ad2-9d8d-8cd10953b100/full/!800,800/0/default.jpg",88,1990,max,
83505,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/c42f0ad9-5750-418d-9d90-3c65135bdbc7/full/!800,800/0/default.jpg",88,1990,max,
83511,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/fe873b11-0491-4101-963b-6cb831f75aad/full/!800,800/0/default.jpg",88,1990,max,
141618,M is for Mother,1998,Louise Bourgeois,Drawing,"https://api.nga.gov/iiif/97a6221d-ef6a-4415-903a-5565dff3725e/full/!800,800/0/default.jpg",87,1990,max,